# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	6947
#@/user_id	5130af82-6fd0-4a62-b531-2f7c0e3af40e
a 	啊	c=21 d=9.06571 t=6947
shi yong 	使用	c=13 d=7.45262 t=6947
shi yong 	實用	c=1 d=0.99005 t=6947
shou 	手	c=1 d=0.941765 t=6947
shou ci 	首次	c=1 d=0.856415 t=6947
shou dao 	受到	c=1 d=0.932394 t=6947
shou dao 	收到	c=3 d=2.01435 t=6947
shou dong 	手動	c=3 d=1.80082 t=6947
shou duan 	手段	c=2 d=1.40362 t=6947
shou fa 	手法	c=1 d=0.904837 t=6947
shou gong 	手工	c=7 d=5.60844 t=6947
shou quan 	授權	c=2 d=1.90894 t=6947
shou shu 	手術	c=1 d=0.980199 t=6947
shou yao 	首要	c=1 d=0.970446 t=6947
shu 	數	c=1 d=0.995012 t=6947
shu 	樹	c=4 d=2.74667 t=6947
shu chu 	輸出	c=2 d=1.72732 t=6947
shu ju 	數據	c=35 d=10.3356 t=6947
shu ju ku 	數據庫	c=4 d=2.58758 t=6947
shu liang 	數量	c=1 d=0.97531 t=6947
shu ru 	輸入	c=7 d=5.13753 t=6947
shu xue 	數學	c=1 d=0.810584 t=6947
shu yu 	屬於	c=7 d=3.21997 t=6947
shu zhi 	數值	c=1 d=0.965605 t=6947
shu zi 	數字	c=3 d=2.53623 t=6947
shua xin 	刷新	c=1 d=0.980199 t=6947
shuang 	爽	c=1 d=0.913931 t=6947
shuang xiang 	雙向	c=1 d=0.97531 t=6947
shui 	水	c=4 d=3.28801 t=6947
shui 	誰	c=2 d=1.60163 t=6947
shui jiao 	睡覺	c=8 d=5.20864 t=6947
shun 	順	c=8 d=7.17131 t=6947
shuo 	碩	c=1 d=0.904837 t=6947
shuo 	說	c=8 d=5.08093 t=6947
shuo ming 	說明	c=2 d=1.56397 t=6947
shuo shi 	說是	c=1 d=0.427415 t=6947
si 	飼	c=1 d=0.985112 t=6947
si cao 	飼草	c=1 d=0.878095 t=6947
si da 	四大	c=2 d=1.63338 t=6947
si ge 	四個	c=2 d=0.901866 t=6947
si ji 	死機	c=1 d=0.826959 t=6947
si yao 	私鑰	c=2 d=1.34612 t=6947
si you 	私有	c=1 d=0.995012 t=6947
sou gou 	搜狗	c=1 d=0.965605 t=6947
su du 	速度	c=10 d=6.53945 t=6947
su jiao 	塑膠	c=1 d=0.941765 t=6947
su she 	宿舍	c=2 d=1.77833 t=6947
suan 	算	c=1 d=0.882497 t=6947
suan fa 	算法	c=17 d=7.0769 t=6947
suan shi 	算是	c=1 d=0.941765 t=6947
sui 	歲	c=2 d=1.8696 t=6947
sui 	隨	c=1 d=0.729789 t=6947
sui dao 	隧道	c=3 d=2.58537 t=6947
sui ji 	隨機	c=1 d=0.869358 t=6947
sui ran 	雖然	c=1 d=0.932394 t=6947
sui shi 	隨時	c=1 d=0.822835 t=6947
sui yuan 	隨園	c=1 d=0.927743 t=6947
sun hai 	損害	c=1 d=0.918512 t=6947
sun huai 	損壞	c=1 d=0.995012 t=6947
suo xu 	所需	c=2 d=1.21747 t=6947
suo yi 	所以	c=6 d=3.45792 t=6947
suo you 	所有	c=5 d=3.28387 t=6947
suo zhi 	所知	c=1 d=0.951229 t=6947
ta 	他	c=3 d=2.36211 t=6947
ta 	它	c=1 d=0.818731 t=6947
tai 	太	c=10 d=5.56046 t=6947
tai di 	太低	c=1 d=0.843665 t=6947
tai duo 	太多	c=2 d=1.63509 t=6947
tai hao 	太好	c=2 d=1.29167 t=6947
tai hao le 	太好了	c=1 d=0.718924 t=6947
tai ke wu 	太可惡	c=1 d=0.909373 t=6947
tai kuai 	太快	c=1 d=0.995012 t=6947
tan chu 	彈出	c=3 d=2.51216 t=6947
tao 	套	c=1 d=1 t=6947
tao yan 	討厭	c=2 d=1.91353 t=6947
te 	特	c=1 d=0.923116 t=6947
te bie 	特別	c=1 d=0.985112 t=6947
te dian 	特點	c=1 d=0.822835 t=6947
te luo yi 	特洛伊	c=1 d=0.955997 t=6947
te shu 	特殊	c=1 d=0.937067 t=6947
te xing 	特性	c=2 d=1.52582 t=6947
te zheng 	特徵	c=2 d=1.99005 t=6947
teng 	疼	c=1 d=0.860708 t=6947
teng xun 	騰訊	c=7 d=5.70888 t=6947
ti 	踢	c=2 d=1.74464 t=6947
ti 	題	c=4 d=3.51109 t=6947
ti dai 	替代	c=1 d=0.946485 t=6947
ti dai pin 	替代品	c=1 d=0.683861 t=6947
ti huan 	替換	c=1 d=0.847894 t=6947
ti ku 	題庫	c=12 d=5.06992 t=6947
ti mu 	題目	c=4 d=3.70814 t=6947
ti qu 	提取	c=1 d=0.951229 t=6947
ti xi 	體系	c=3 d=1.57182 t=6947
ti xi hua 	體系化	c=1 d=0.818731 t=6947
ti yan 	體驗	c=1 d=0.506617 t=6947
ti zhi 	體制	c=4 d=2.115 t=6947
ti zhi hua 	體制化	c=1 d=0.88692 t=6947
tian 	天	c=1 d=0.918512 t=6947
tian jia 	添加	c=1 d=0.970446 t=6947
tiao jian 	條件	c=1 d=0.852144 t=6947
tiao zhuan 	跳轉	c=3 d=2.6624 t=6947
tie 	貼	c=1 d=1 t=6947
tie zi 	帖子	c=2 d=1.89786 t=6947
ting 	廳	c=1 d=0.467666 t=6947
ting diao 	停掉	c=1 d=0.900325 t=6947
ting hao 	挺好	c=1 d=0.782705 t=6947
tong 	通	c=6 d=4.68633 t=6947
tong bu 	同步	c=2 d=1.78282 t=6947
tong chang 	通常	c=1 d=0.704688 t=6947
tong dao 	通道	c=2 d=1.43426 t=6947
tong guo 	通過	c=9 d=5.07931 t=6947
tong xin 	通信	c=3 d=1.89534 t=6947
tou 	頭	c=3 d=2.55953 t=6947
tou da 	頭大	c=1 d=1 t=6947
tou ming 	透明	c=3 d=2.36659 t=6947
tu pian 	圖片	c=1 d=0.951229 t=6947
tu xiang 	圖像	c=2 d=1.82259 t=6947
tu xing hua 	圖形化	c=1 d=0.980199 t=6947
tui 	腿	c=2 d=1.93605 t=6947
tui 	退	c=1 d=0.904837 t=6947
tui chu 	退出	c=1 d=1 t=6947
tui jin 	推進	c=1 d=0.937067 t=6947
tui kuan 	退款	c=1 d=1 t=6947
wa 	哇	c=1 d=0.941765 t=6947
wa dong 	挖洞	c=2 d=1.67498 t=6947
wai bu 	外部	c=2 d=1.91316 t=6947
wai mian 	外面	c=1 d=0.759572 t=6947
wan 	丸	c=3 d=2.72229 t=6947
wan 	晚	c=2 d=1.88504 t=6947
wan 	玩	c=13 d=10.0655 t=6947
wan an 	晚安	c=1 d=0.99005 t=6947
wan shang 	晚上	c=3 d=2.51464 t=6947
wan yi 	玩意	c=2 d=1.54809 t=6947
wan zheng 	完整	c=4 d=2.18649 t=6947
wang 	往	c=1 d=0.771052 t=6947
wang 	網	c=4 d=3.21407 t=6947
wang duan 	網段	c=1 d=0.99005 t=6947
wang luo 	網絡	c=52 d=11.9096 t=6947
wang pan 	網盤	c=1 d=1 t=6947
wang zhan 	網站	c=4 d=3.0631 t=6947
wang zhi 	網址	c=1 d=0.802519 t=6947
wei 	位	c=11 d=7.83188 t=6947
wei 	爲	c=10 d=6.42274 t=6947
wei bao 	餵飽	c=1 d=0.960789 t=6947
wei du 	維度	c=1 d=0.690734 t=6947
wei hai 	危害	c=1 d=0.637628 t=6947
wei he xin 	爲核心	c=1 d=0.955997 t=6947
wei rao 	圍繞	c=1 d=0.904837 t=6947
wei sha 	爲啥	c=10 d=4.70041 t=6947
wei shen me 	爲什麼	c=5 d=3.24845 t=6947
wei zhi 	未知	c=2 d=1.79616 t=6947
wei zhu 	爲主	c=1 d=1 t=6947
wei zhuang cheng 	僞裝成	c=1 d=0.965605 t=6947
wen 	問	c=1 d=0.873716 t=6947
wen 	文	c=1 d=0.794534 t=6947
wen ben 	文本	c=2 d=1.50028 t=6947
wen dang 	文檔	c=1 d=0.918512 t=6947
wen ding 	穩定	c=2 d=1.5063 t=6947
wen jian 	文件	c=20 d=9.57617 t=6947
wen jian jia 	文件夾	c=2 d=1.92654 t=6947
wen ju 	文具	c=1 d=0.980199 t=6947
wen ti 	問題	c=18 d=9.26906 t=6947
wen zi 	文字	c=1 d=0.802519 t=6947
wo 	我	c=46 d=10.3789 t=6947
wo de 	我的	c=6 d=4.51363 t=6947
wo de shi jie 	我的世界	c=9 d=6.3757 t=6947
wo guo 	我國	c=4 d=3.35066 t=6947
wo lei 	我累	c=1 d=0.941765 t=6947
wo shi 	我是	c=1 d=0.900325 t=6947
wo wen 	我問	c=1 d=0.99005 t=6947
wo xiang 	我想	c=6 d=4.06587 t=6947
wu 	無	c=4 d=3.42485 t=6947
wu fa 	無法	c=3 d=1.96027 t=6947
wu ge 	五個	c=1 d=0.45612 t=6947
wu shang 	無上	c=1 d=0.806541 t=6947
wu wu 	嗚嗚	c=34 d=13.116 t=6947
wu wu wu 	嗚嗚嗚	c=2 d=1.78996 t=6947
wu xu 	無序	c=1 d=0.873716 t=6947
wu xu 	無需	c=2 d=1.64915 t=6947
wu zhuang tai 	無狀態	c=2 d=1.88412 t=6947
xi fan 	稀飯	c=0 d=0.099005 t=6947
xi fan ni 	稀飯泥	c=1 d=0.995012 t=6947
xi huan 	喜歡	c=10 d=6.28418 t=6947
xi lie 	系列	c=1 d=0.985112 t=6947
xi nan 	西南	c=1 d=0.960789 t=6947
xi tong 	系統	c=46 d=11.6591 t=6947
xi xi 	嘻嘻	c=2 d=1.33285 t=6947
xia 	下	c=15 d=9.57976 t=6947
xia 	瞎	c=1 d=0.687289 t=6947
xia ku 	嚇哭	c=1 d=0.965605 t=6947
xia lai 	下來	c=1 d=0.980199 t=6947
xia wu 	下午	c=1 d=0.980199 t=6947
xia xue qi 	下學期	c=1 d=0.955997 t=6947
xia yi tiao 	嚇一跳	c=1 d=0.995012 t=6947
xia yu 	下雨	c=1 d=0.946485 t=6947
xia zai 	下載	c=7 d=5.616 t=6947
xian 	先	c=3 d=2.07883 t=6947
xian 	線	c=4 d=3.27831 t=6947
xian cun 	顯存	c=1 d=1 t=6947
xian ka 	顯卡	c=13 d=9.03769 t=6947
xian sheng 	先生	c=1 d=0.970446 t=6947
xian shi 	顯示	c=6 d=4.11358 t=6947
xian xia 	線下	c=3 d=2.82551 t=6947
xian yong 	先用	c=1 d=0.843665 t=6947
xian you 	現有	c=1 d=0.97531 t=6947
xian yu 	閒魚	c=2 d=1.31008 t=6947
xian zai 	現在	c=7 d=4.00849 t=6947
xian zhi 	限制	c=1 d=0.856415 t=6947
xiang 	像	c=4 d=3.03233 t=6947
xiang 	向	c=7 d=4.1407 t=6947
xiang 	想	c=18 d=7.57178 t=6947
xiang guan 	相關	c=2 d=1.64304 t=6947
xiang mu 	項目	c=10 d=5.47686 t=6947
xiang shang 	向上	c=1 d=0.839457 t=6947
xiang su 	像素	c=1 d=0.980199 t=6947
xiang ying 	響應	c=2 d=1.72573 t=6947
xiao 	小	c=6 d=4.68287 t=6947
xiao 	校	c=3 d=2.42823 t=6947
xiao guo 	效果	c=5 d=4.05694 t=6947
xiao huang ya 	小黃鴨	c=2 d=1.6613 t=6947
xiao lang hao 	小狼毫	c=2 d=1.91678 t=6947
xiao sa 	瀟灑	c=0 d=0.0856415 t=6947
xiao sa de 	瀟灑的	c=1 d=0.860708 t=6947
xiao sai 	校賽	c=1 d=0.904837 t=6947
xiao shi 	小時	c=1 d=0.985112 t=6947
xiao xi 	消息	c=1 d=0.946485 t=6947
xiao xin 	小心	c=1 d=0.965605 t=6947
xiao yu 	小於	c=2 d=1.81113 t=6947
xiao zu 	小組	c=1 d=0.546074 t=6947
xie 	些	c=1 d=0.909373 t=6947
xie 	寫	c=13 d=6.61321 t=6947
xie dai 	攜帶	c=1 d=0.970446 t=6947
xie ru 	寫入	c=2 d=1.72694 t=6947
xie xie 	謝謝	c=1 d=0.847894 t=6947
xie yi 	協議	c=2 d=1.94128 t=6947
xie zuo 	協作	c=2 d=1.92275 t=6947
xin 	信	c=19 d=8.47997 t=6947
xin 	新	c=5 d=4.23367 t=6947
xin de 	新的	c=1 d=0.927743 t=6947
xin jian 	新建	c=1 d=0.951229 t=6947
xin shou 	新手	c=1 d=0.932394 t=6947
xin xi 	信息	c=52 d=12.8018 t=6947
xing 	型	c=5 d=4.71468 t=6947
xing 	性	c=16 d=5.1834 t=6947
xing cheng 	形成	c=1 d=0.955997 t=6947
xing gan 	性感	c=1 d=0.985112 t=6947
xing hao 	型號	c=2 d=1.97025 t=6947
xing neng 	性能	c=1 d=0.496585 t=6947
xing wei 	行爲	c=2 d=1.36897 t=6947
xiu gai 	修改	c=3 d=1.72195 t=6947
xiu tan qi 	嗅探器	c=1 d=0.955997 t=6947
xiu xi 	休息	c=1 d=0.99005 t=6947
xu hao 	序號	c=1 d=0.932394 t=6947
xu ni 	虛擬	c=1 d=0.865022 t=6947
xu ni ji 	虛擬機	c=1 d=0.878095 t=6947
xu yao 	需要	c=1 d=0.99005 t=6947
xuan xiang 	選項	c=1 d=1 t=6947
xuan ze 	選擇	c=2 d=1.80654 t=6947
xue 	學	c=20 d=9.10119 t=6947
xue 	穴	c=1 d=0.873716 t=6947
xue de 	學的	c=3 d=2.4194 t=6947
xue sheng 	學生	c=1 d=0.946485 t=6947
xue xi 	學習	c=19 d=13.1758 t=6947
xue xiao 	學校	c=1 d=0.900325 t=6947
xue xin 	學信	c=3 d=2.84429 t=6947
xue yi 	學醫	c=1 d=0.843665 t=6947
xue yuan 	學院	c=1 d=0.932394 t=6947
xun huan 	循環	c=1 d=0.29671 t=6947
ya 	呀	c=12 d=6.42242 t=6947
ya po 	壓迫	c=3 d=2.38416 t=6947
ya suo 	壓縮	c=1 d=0.995012 t=6947
yan shai 	顏色	c=5 d=4.70813 t=6947
yan zheng 	驗証	c=5 d=3.52231 t=6947
yan zhong 	嚴重	c=5 d=4.15414 t=6947
yan zou 	演奏	c=1 d=0.856415 t=6947
yang 	樣	c=9 d=5.57301 t=6947
yang hong 	洋紅	c=1 d=0.794534 t=6947
yang shi 	樣式	c=2 d=1.72246 t=6947
yang zi 	樣子	c=2 d=1.68641 t=6947
yao 	藥	c=10 d=4.87647 t=6947
yao 	要	c=139 d=22.1634 t=6947
yao bu yao 	要不要	c=2 d=1.82494 t=6947
yao qiu 	要求	c=1 d=0.726149 t=6947
yao shi 	要是	c=1 d=0.946485 t=6947
yao xue 	要學	c=1 d=0.88692 t=6947
yao zen me 	要怎麼	c=3 d=1.78844 t=6947
yao zuo 	要做	c=1 d=0.865022 t=6947
ye 	也	c=11 d=4.62072 t=6947
ye 	頁	c=2 d=1.61328 t=6947
ye cao 	野草	c=2 d=1.82789 t=6947
ye mei you 	也沒有	c=1 d=0.937067 t=6947
ye mei you qi ta 	也沒有其他	c=1 d=0.927743 t=6947
ye mian 	頁面	c=1 d=0.965605 t=6947
ye sheng 	野生	c=1 d=0.965605 t=6947
ye shi 	也是	c=1 d=0.937067 t=6947
ye shou 	野獸	c=1 d=0.97531 t=6947
ye wu 	業務	c=4 d=1.9258 t=6947
ye xiang 	也想	c=4 d=3.15184 t=6947
ye xu 	也許	c=1 d=0.904837 t=6947
ye ye 	爺爺	c=2 d=1.79659 t=6947
yi 	一	c=5 d=2.74044 t=6947
yi 	以	c=1 d=0.965605 t=6947
yi 	已	c=2 d=1.86028 t=6947
yi 	義	c=2 d=1.8606 t=6947
yi ban 	一半	c=1 d=0.909373 t=6947
yi ban 	一般	c=1 d=0.904837 t=6947
yi ci 	一次	c=3 d=2.69194 t=6947
yi dian 	一點	c=2 d=1.33164 t=6947
yi ge 	一個	c=16 d=8.4964 t=6947
yi hou 	以後	c=2 d=1.34046 t=6947
yi hui 	一會	c=1 d=0.995012 t=6947
yi hui shi 	一回事	c=2 d=1.95064 t=6947
yi ji 	一級	c=4 d=2.89218 t=6947
yi jian 	意見	c=1 d=0.56836 t=6947
yi jing 	已經	c=2 d=1.83662 t=6947
yi ju 	依據	c=1 d=0.50409 t=6947
yi lai 	依賴	c=5 d=3.27394 t=6947
yi qi 	一起	c=3 d=2.38215 t=6947
yi shang 	以上	c=5 d=4.18159 t=6947
yi si 	意思	c=20 d=9.0964 t=6947
yi tian 	一天	c=1 d=0.891366 t=6947
yi wan 	一晚	c=1 d=0.995012 t=6947
yi wei 	以爲	c=2 d=1.86042 t=6947
yi wei 	移位	c=1 d=0.843665 t=6947
yi xia 	以下	c=7 d=4.88654 t=6947
yi yang 	一樣	c=5 d=3.26661 t=6947
yi yi 	意義	c=1 d=0.814647 t=6947
yi you 	已有	c=1 d=0.985112 t=6947
yi zhi 	一致	c=1 d=0.895834 t=6947
yi zhi 	抑制	c=2 d=1.97045 t=6947
yin bi 	隱蔽	c=1 d=0.71177 t=6947
yin pin 	音頻	c=1 d=0.970446 t=6947
yin yue 	音樂	c=2 d=1.72518 t=6947
ying 	應	c=2 d=1.2325 t=6947
ying da 	應答	c=1 d=0.923116 t=6947
ying hua 	英華	c=1 d=0.923116 t=6947
ying jian 	硬件	c=3 d=2.54388 t=6947
ying pan 	硬盤	c=2 d=1.81625 t=6947
ying xu 	應許	c=1 d=0.955997 t=6947
ying yong 	應用	c=1 d=0.97531 t=6947
yo 	喲	c=0 d=0.163388 t=6947
yo jiu neng gou 	喲就能夠	c=1 d=0.882497 t=6947
yong 	用	c=67 d=15.7481 t=6947
yong bu yong 	用不用	c=1 d=0.847894 t=6947
yong hu 	用戶	c=8 d=2.98805 t=6947
yong jiu 	永久	c=1 d=0.985112 t=6947
yong yu 	用於	c=3 d=2.60029 t=6947
yong zhe 	用着	c=1 d=0.927743 t=6947
yong zhe ge 	用這個	c=1 d=1 t=6947
you 	又	c=2 d=1.60651 t=6947
you 	有	c=36 d=9.70771 t=6947
you cheng 	又稱	c=2 d=1.68325 t=6947
you de 	有的	c=2 d=1.41326 t=6947
you dian 	優點	c=2 d=0.923116 t=6947
you dian 	有點	c=3 d=2.31459 t=6947
you ge 	有個	c=2 d=1.95101 t=6947
you hao 	友好	c=1 d=0.960789 t=6947
you hua 	優化	c=1 d=0.960789 t=6947
you mei you 	有沒有	c=4 d=3.04812 t=6947
you ren 	有人	c=2 d=1.43462 t=6947
you shi 	又是	c=1 d=0.980199 t=6947
you shi hou 	有時候	c=2 d=1.94099 t=6947
you xi 	遊戲	c=5 d=4.3667 t=6947
you xian 	有限	c=1 d=0.527292 t=6947
you xiang 	郵箱	c=1 d=0.83527 t=6947
you xiao 	有效	c=3 d=2.679 t=6947
you xie 	有些	c=3 d=2.21088 t=6947
yu 	與	c=3 d=2.07669 t=6947
yu 	雨	c=1 d=0.771052 t=6947
yu ben 	愚笨	c=1 d=0.847894 t=6947
yu fa 	語法	c=1 d=0.790571 t=6947
yu jing 	預警	c=1 d=0.951229 t=6947
yu ming 	域名	c=1 d=0.985112 t=6947
yu yi 	語義	c=1 d=0.774916 t=6947
yuan 	原	c=2 d=1.67787 t=6947
yuan 	圓	c=2 d=1.36159 t=6947
yuan 	源	c=13 d=8.07775 t=6947
yuan 	遠	c=1 d=0.995012 t=6947
yuan cheng 	遠程	c=1 d=0.774916 t=6947
yuan gong 	員工	c=1 d=0.327915 t=6947
yuan lai 	原來	c=2 d=1.69308 t=6947
yuan wei 	原味	c=1 d=0.650509 t=6947
yuan you 	原有	c=3 d=1.56828 t=6947
yuan ze 	原則	c=8 d=3.05402 t=6947
yuan zhi 	原汁	c=1 d=0.647265 t=6947
yue 	月	c=2 d=1.72247 t=6947
yun 	雲	c=7 d=4.87795 t=6947
yun qi 	運氣	c=1 d=0.909373 t=6947
yun wei 	運維	c=4 d=3.70721 t=6947
yun xing 	運行	c=10 d=5.7463 t=6947
yun yun 	暈暈	c=1 d=0.918512 t=6947
zai 	在	c=35 d=10.6071 t=6947
zai na 	在哪	c=1 d=0.856415 t=6947
zai yi qi 	在一起	c=1 d=0.995012 t=6947
zai zhe 	在這	c=1 d=0.960789 t=6947
zan shi 	暫時	c=1 d=0.960789 t=6947
zao cheng 	造成	c=3 d=2.76436 t=6947
zao dian 	早點	c=1 d=0.932394 t=6947
ze ren 	責任	c=1 d=0.329559 t=6947
zen me 	怎麼	c=149 d=28.6541 t=6947
zen me ban 	怎麼辦	c=1 d=0.951229 t=6947
zen me hui shi 	怎麼回事	c=3 d=2.49798 t=6947
zen me zuo 	怎麼做	c=2 d=1.95566 t=6947
zhan 	佔	c=3 d=2.41778 t=6947
zhan 	站	c=1 d=0.955997 t=6947
zhan kai 	展開	c=1 d=0.927743 t=6947
zhan man 	沾滿	c=1 d=0.937067 t=6947
zhan yong 	佔用	c=3 d=2.65754 t=6947
zhang 	長	c=2 d=1.91316 t=6947
zhao 	找	c=9 d=5.60035 t=6947
zhao dao 	找到	c=4 d=2.59929 t=6947
zhao guan jian 	找關鍵	c=1 d=0.995012 t=6947
zhao zhao 	找找	c=1 d=0.951229 t=6947
zhe 	着	c=2 d=1.22747 t=6947
zhe 	者	c=1 d=0.852144 t=6947
zhe 	這	c=27 d=13.1451 t=6947
zhe bian 	這邊	c=1 d=0.985112 t=6947
zhe dou 	這都	c=1 d=0.748264 t=6947
zhe fen 	這份	c=0 d=0.0923116 t=6947
zhe fen bi zhi 	這份壁紙	c=1 d=0.927743 t=6947
zhe ge 	這個	c=90 d=17.9308 t=6947
zhe jiu 	這就	c=1 d=0.960789 t=6947
zhe li 	這裏	c=3 d=2.70181 t=6947
zhe me 	這麼	c=11 d=5.66499 t=6947
zhe me zuo 	這麼做	c=3 d=2.48551 t=6947
zhe shi 	這是	c=71 d=18.5571 t=6947
zhe shi bu shi 	這是不是	c=1 d=0.99005 t=6947
zhe teng 	折騰	c=1 d=0.83527 t=6947
zhe xia 	這下	c=1 d=0.88692 t=6947
zhe xie 	這些	c=11 d=7.80621 t=6947
zhe yang 	這樣	c=12 d=5.60236 t=6947
zhe ye xu 	這也許	c=1 d=0.869358 t=6947
zhe zhong 	這種	c=1 d=0.965605 t=6947
zhen 	幀	c=1 d=0.904837 t=6947
zhen 	真	c=2 d=1.50389 t=6947
zhen de 	真的	c=6 d=4.91106 t=6947
zhen hao 	真好	c=2 d=1.68268 t=6947
zhen ma fan 	真麻煩	c=1 d=0.918512 t=6947
zhen shi 	真實	c=1 d=0.640824 t=6947
zhen zheng 	真正	c=1 d=0.621885 t=6947
zheng 	正	c=2 d=1.93181 t=6947
zheng ce 	政策	c=8 d=4.06216 t=6947
zheng chang 	正常	c=1 d=0.88692 t=6947
zheng que 	正確	c=1 d=0.790571 t=6947
zheng shi 	正式	c=4 d=3.36139 t=6947
zheng ti 	整體	c=5 d=3.61065 t=6947
zhi 	之	c=2 d=1.5548 t=6947
zhi 	值	c=9 d=7.10668 t=6947
zhi biao 	指標	c=1 d=0.600496 t=6947
zhi bo 	直播	c=2 d=1.99501 t=6947
zhi bu zhi dao 	知不知道	c=1 d=0.882497 t=6947
zhi chi 	支持	c=3 d=2.30202 t=6947
zhi dao 	知道	c=2 d=1.34131 t=6947
zhi ding 	指定	c=8 d=4.53867 t=6947
zhi du 	制度	c=1 d=0.666977 t=6947
zhi hou 	之後	c=3 d=1.53384 t=6947
zhi hui 	只會	c=1 d=0.900325 t=6947
zhi jian 	之間	c=1 d=0.941765 t=6947
zhi jie 	直接	c=2 d=1.7409 t=6947
zhi lei 	之類	c=1 d=0.88692 t=6947
zhi lian 	直連	c=2 d=1.76301 t=6947
zhi liang 	質量	c=3 d=2.90691 t=6947
zhi neng 	只能	c=4 d=2.12611 t=6947
zhi neng 	智能	c=3 d=1.6811 t=6947
zhi qian 	之前	c=6 d=3.30806 t=6947
zhi shi 	只是	c=3 d=2.65464 t=6947
zhi shi 	知識	c=1 d=0.97531 t=6947
zhi tong 	直通	c=1 d=1 t=6947
zhi xing 	執行	c=8 d=4.41571 t=6947
zhi xu 	只需	c=1 d=0.847894 t=6947
zhi xu 	秩序	c=4 d=3.73599 t=6947
zhi xue 	只學	c=1 d=0.891366 t=6947
zhi ye 	職業	c=1 d=0.927743 t=6947
zhi yong 	只用	c=1 d=0.985112 t=6947
zhi you 	只有	c=3 d=2.26019 t=6947
zhi ze 	職責	c=1 d=0.532592 t=6947
zhong 	中	c=1 d=0.304221 t=6947
zhong 	種	c=2 d=1.36752 t=6947
zhong 	重	c=1 d=0.941765 t=6947
zhong 	鍾	c=10 d=7.96066 t=6947
zhong ban 	中辦	c=1 d=0.571209 t=6947
zhong da 	重大	c=1 d=0.810584 t=6947
zhong de 	中的	c=1 d=0.839457 t=6947
zhong dian 	重點	c=3 d=1.62042 t=6947
zhong duan 	終端	c=5 d=3.56758 t=6947
zhong guo 	中國	c=2 d=1.87603 t=6947
zhong wen 	中文	c=4 d=2.65828 t=6947
zhong xin 	中心	c=3 d=2.65249 t=6947
zhong yang 	中央	c=1 d=0.463013 t=6947
zhong yao 	重要	c=4 d=2.515 t=6947
zhong yao xing 	重要性	c=1 d=0.831104 t=6947
zhong yu 	終於	c=2 d=1.4674 t=6947
zhong zhi 	終止	c=1 d=0.995012 t=6947
zhou liu 	週六	c=1 d=0.985112 t=6947
zhu ce 	註冊	c=1 d=0.99005 t=6947
zhu dong 	主動	c=3 d=2.32938 t=6947
zhu ji 	主機	c=4 d=2.3919 t=6947
zhu liu 	主流	c=1 d=0.289384 t=6947
zhu ru 	注入	c=16 d=9.06431 t=6947
zhu ti 	主題	c=7 d=5.29646 t=6947
zhu ti 	主體	c=11 d=7.31469 t=6947
zhu yao 	主要	c=3 d=1.12109 t=6947
zhua bao 	抓包	c=1 d=0.960789 t=6947
zhuan 	轉	c=2 d=1.73221 t=6947
zhuan fa 	轉發	c=1 d=0.951229 t=6947
zhuan hua 	轉化	c=2 d=1.3972 t=6947
zhuan ke 	專科	c=2 d=1.7872 t=6947
zhuan yong 	專用	c=3 d=2.55445 t=6947
zhuang 	裝	c=13 d=5.45679 t=6947
zhuang de 	裝的	c=1 d=0.951229 t=6947
zhuang ge 	裝個	c=1 d=0.900325 t=6947
zhuang tai 	狀態	c=1 d=0.99005 t=6947
zhui jiu 	追究	c=1 d=0.32628 t=6947
zhuo mian 	桌面	c=3 d=1.93191 t=6947
zi 	字	c=2 d=1.74082 t=6947
zi a 	子啊	c=1 d=0.826959 t=6947
zi dai 	自帶	c=1 d=0.767206 t=6947
zi dian 	字典	c=1 d=0.970446 t=6947
zi dong 	自動	c=8 d=4.81518 t=6947
zi duan 	字段	c=5 d=4.32691 t=6947
zi fu 	字符	c=4 d=3.49098 t=6947
zi ji 	自己	c=4 d=2.82895 t=6947
zi jie 	字節	c=1 d=0.995012 t=6947
zi liao 	資料	c=8 d=6.8399 t=6947
zi shen 	資深	c=1 d=0.913931 t=6947
zi ti 	字體	c=5 d=4.09295 t=6947
zi yuan 	資源	c=2 d=1.44582 t=6947
zi zhu 	自主	c=1 d=0.557106 t=6947
zong fen 	總分	c=2 d=1.93181 t=6947
zong ti 	總體	c=2 d=1.58324 t=6947
zou 	走	c=1 d=0.891366 t=6947
zu 	組	c=1 d=0.856415 t=6947
zu se 	阻塞	c=1 d=0.733447 t=6947
zu zhi 	組織	c=7 d=5.26691 t=6947
zui 	最	c=3 d=1.84073 t=6947
zui duo 	最多	c=1 d=0.657047 t=6947
zui hou 	最後	c=1 d=0.927743 t=6947
zui kai shi 	最開始	c=1 d=0.826959 t=6947
zui zhong 	最終	c=3 d=2.3483 t=6947
zuo 	做	c=69 d=19.5738 t=6947
zuo ce 	左側	c=2 d=1.77953 t=6947
zuo cheng 	做成	c=2 d=1.81721 t=6947
zuo wei 	作爲	c=1 d=0.909373 t=6947
zuo ye 	作業	c=2 d=1.50071 t=6947
zuo you 	左右	c=1 d=0.744532 t=6947
